COUNTY,RACE,YEAR,POP
Fairfield,TOT,2000,123485
Fairfield,TOT,2001,126245
Fairfield,TOT,2002,129355
Fairfield,TOT,2003,132770
Fairfield,TOT,2004,136074
Fairfield,TOT,2005,138745
Fairfield,TOT,2006,141005
Fairfield,TOT,2007,142915
Fairfield,TOT,2008,144029
Fairfield,TOT,2009,145446
Fairfield,TOT,2010,292759
Fairfield,TOT,2011,147180
Fairfield,TOT,2012,147314
Fairfield,TOT,2013,148820
Fairfield,TOT,2014,150400
Fairfield,TOT,2015,151310
Fairfield,TOT,2016,152829
Fairfield,TOT,2017,154718
Fairfield,TOT,2018,156062
Fairfield,TOT,2019,157703
Fairfield,TOT,2020,319157
Fairfield,TOT,2021,161209
Fairfield,TOT,2022,162956
Fairfield,TOT,2023,165360
Fairfield,WA,2000,117833
Fairfield,WA,2001,119386
Fairfield,WA,2002,121269
Fairfield,WA,2003,123517
Fairfield,WA,2004,125542
Fairfield,WA,2005,127529
Fairfield,WA,2006,129273
Fairfield,WA,2007,130602
Fairfield,WA,2008,131424
Fairfield,WA,2009,132278
Fairfield,WA,2010,265542
Fairfield,WA,2011,133022
Fairfield,WA,2012,132744
Fairfield,WA,2013,133403
Fairfield,WA,2014,134221
Fairfield,WA,2015,134695
Fairfield,WA,2016,135205
Fairfield,WA,2017,135957
Fairfield,WA,2018,136334
Fairfield,WA,2019,136694
Fairfield,WA,2020,273966
Fairfield,WA,2021,137111
Fairfield,WA,2022,136723
Fairfield,WA,2023,137093
Fayette,AA,2000,133
Fayette,AA,2001,143
Fayette,AA,2002,148
Fayette,AA,2003,145
Fayette,AA,2004,143
Fayette,AA,2005,153
Fayette,AA,2006,154
Fayette,AA,2007,167
Fayette,AA,2008,152
Fayette,AA,2009,171
Fayette,AA,2010,332
Fayette,AA,2011,175
Fayette,AA,2012,182
Fayette,AA,2013,190
Fayette,AA,2014,214
Fayette,AA,2015,230
Fayette,AA,2016,253
Fayette,AA,2017,276
Fayette,AA,2018,281
Fayette,AA,2019,301
Fayette,AA,2020,637
Fayette,AA,2021,335
Fayette,AA,2022,362
Fayette,AA,2023,380
Fayette,BA,2000,624
Fayette,BA,2001,620
Fayette,BA,2002,639
Fayette,BA,2003,627
Fayette,BA,2004,615
Fayette,BA,2005,589
Fayette,BA,2006,603
Fayette,BA,2007,610
Fayette,BA,2008,627
Fayette,BA,2009,623
Fayette,BA,2010,1212
Fayette,BA,2011,614
Fayette,BA,2012,610
Fayette,BA,2013,634
Fayette,BA,2014,632
Fayette,BA,2015,625
Fayette,BA,2016,643
Fayette,BA,2017,657
Fayette,BA,2018,656
Fayette,BA,2019,655
Fayette,BA,2020,1437
Fayette,BA,2021,746
Fayette,BA,2022,725
Fayette,BA,2023,742
Fayette,HAA,2000,0
Fayette,HAA,2001,0
Fayette,HAA,2002,0
Fayette,HAA,2003,0
Fayette,HAA,2004,2
Fayette,HAA,2005,5
Fayette,HAA,2006,7
Fayette,HAA,2007,9
Fayette,HAA,2008,10
Fayette,HAA,2009,11
Fayette,HAA,2010,19
Fayette,HAA,2011,9
Fayette,HAA,2012,7
Fayette,HAA,2013,7
Fayette,HAA,2014,7
Fayette,HAA,2015,9
Fayette,HAA,2016,11
Fayette,HAA,2017,21
Fayette,HAA,2018,16
Fayette,HAA,2019,18
Fayette,HAA,2020,40
Fayette,HAA,2021,19
Fayette,HAA,2022,17
Fayette,HAA,2023,17
Fayette,HBA,2000,42
Fayette,HBA,2001,42
Fayette,HBA,2002,44
Fayette,HBA,2003,43
Fayette,HBA,2004,42
Fayette,HBA,2005,26
Fayette,HBA,2006,31
Fayette,HBA,2007,33
Fayette,HBA,2008,32
Fayette,HBA,2009,34
Fayette,HBA,2010,72
Fayette,HBA,2011,41
Fayette,HBA,2012,39
Fayette,HBA,2013,43
Fayette,HBA,2014,45
Fayette,HBA,2015,44
Fayette,HBA,2016,49
Fayette,HBA,2017,50
Fayette,HBA,2018,54
Fayette,HBA,2019,55
Fayette,HBA,2020,122
Fayette,HBA,2021,66
Fayette,HBA,2022,62
Fayette,HBA,2023,67
Fayette,HIA,2000,6
Fayette,HIA,2001,6
Fayette,HIA,2002,6
Fayette,HIA,2003,6
Fayette,HIA,2004,6
Fayette,HIA,2005,10
Fayette,HIA,2006,10
Fayette,HIA,2007,11
Fayette,HIA,2008,11
Fayette,HIA,2009,11
Fayette,HIA,2010,23
Fayette,HIA,2011,11
Fayette,HIA,2012,11
Fayette,HIA,2013,13
Fayette,HIA,2014,13
Fayette,HIA,2015,17
Fayette,HIA,2016,23
Fayette,HIA,2017,23
Fayette,HIA,2018,17
Fayette,HIA,2019,17
Fayette,HIA,2020,30
Fayette,HIA,2021,22
Fayette,HIA,2022,23
Fayette,HIA,2023,23
Fayette,HNA,2000,0
Fayette,HNA,2001,0
Fayette,HNA,2002,0
Fayette,HNA,2003,0
Fayette,HNA,2004,0
Fayette,HNA,2005,0
Fayette,HNA,2006,0
Fayette,HNA,2007,0
Fayette,HNA,2008,0
Fayette,HNA,2009,0
Fayette,HNA,2010,0
Fayette,HNA,2011,0
Fayette,HNA,2012,0
Fayette,HNA,2013,0
Fayette,HNA,2014,0
Fayette,HNA,2015,0
Fayette,HNA,2016,0
Fayette,HNA,2017,0
Fayette,HNA,2018,0
Fayette,HNA,2019,0
Fayette,HNA,2020,0
Fayette,HNA,2021,0
Fayette,HNA,2022,0
Fayette,HNA,2023,0
Fayette,HTOM,2000,11
Fayette,HTOM,2001,11
Fayette,HTOM,2002,10
Fayette,HTOM,2003,11
Fayette,HTOM,2004,8
Fayette,HTOM,2005,10
Fayette,HTOM,2006,11
Fayette,HTOM,2007,13
Fayette,HTOM,2008,13
Fayette,HTOM,2009,11
Fayette,HTOM,2010,27
Fayette,HTOM,2011,18
Fayette,HTOM,2012,15
Fayette,HTOM,2013,17
Fayette,HTOM,2014,23
Fayette,HTOM,2015,22
Fayette,HTOM,2016,22
Fayette,HTOM,2017,26
Fayette,HTOM,2018,29
